gender,weight_kg,height_cm,age,activity_level,goal,gender_encoded,activity_encoded,goal_encoded,weight_kg_scaled,height_cm_scaled,age_scaled,bmr,tdee,calorie_goal,protein_target_g,protein_target_g,fat_target_g,fat_target_g,carbs_target_g,carbs_target_g
female,82.0,159.8,55,lightly_active,gain,0,1,0,0.6727941176470588,0.28000000000000025,0.902439024390244,1462.76,2011.3,2311.3,173.3,173.3,64.2,64.2,260.0,260.0
female,92.9,163.0,39,very_active,lose,0,4,1,0.8731617647058826,0.371428571428571,0.5121951219512195,1642.74,2833.73,2333.73,204.2,204.2,77.8,77.8,204.2,204.2
female,82.8,179.7,35,moderately_active,lose,0,2,1,0.6874999999999999,0.8485714285714279,0.4146341463414634,1618.41,2508.54,2008.54,175.7,175.7,67.0,67.0,175.7,175.7
female,76.1,167.9,31,extra_active,lose,0,0,1,0.5643382352941176,0.5114285714285716,0.3170731707317073,1537.21,2920.7,2420.7,211.8,211.8,80.7,80.7,211.8,211.8
female,73.7,177.2,27,very_active,maintain,0,4,2,0.5202205882352943,0.7771428571428567,0.21951219512195125,1561.15,2692.98,2692.98,202.0,202.0,89.8,89.8,269.3,269.3
female,78.8,170.9,30,lightly_active,gain,0,1,0,0.613970588235294,0.597142857142857,0.2926829268292683,1575.8,2166.72,2466.72,185.0,185.0,68.5,68.5,277.5,277.5
female,57.8,166.4,48,lightly_active,lose,0,1,1,0.2279411764705882,0.46857142857142886,0.7317073170731709,1289.74,1773.39,1273.39,111.4,111.4,42.4,42.4,111.4,111.4
female,78.2,181.0,47,moderately_active,maintain,0,2,2,0.6029411764705882,0.8857142857142861,0.7073170731707319,1527.94,2368.31,2368.31,177.6,177.6,78.9,78.9,236.8,236.8
male,91.6,161.0,20,lightly_active,lose,1,1,1,0.8492647058823529,0.31428571428571406,0.04878048780487804,1974.63,2715.12,2215.12,193.8,193.8,73.8,73.8,193.8,193.8
male,68.9,157.2,47,sedentary,lose,1,3,1,0.4319852941176471,0.20571428571428552,0.7073170731707319,1499.0,1798.8,1298.8,113.6,113.6,43.3,43.3,113.6,113.6
female,99.8,171.5,23,extra_active,gain,0,0,0,0.9999999999999999,0.6142857142857139,0.12195121951219517,1802.16,3424.1,3724.1,279.3,279.3,103.4,103.4,419.0,419.0
female,80.0,175.9,46,very_active,maintain,0,4,2,0.636029411764706,0.7400000000000002,0.6829268292682928,1533.11,2644.61,2644.61,198.3,198.3,88.2,88.2,264.5,264.5
female,89.6,152.8,25,extra_active,gain,0,0,0,0.8124999999999999,0.08000000000000007,0.17073170731707316,1641.25,3118.38,3418.38,256.4,256.4,95.0,95.0,384.6,384.6
male,72.9,182.4,50,moderately_active,gain,1,2,0,0.5055147058823531,0.9257142857142862,0.7804878048780488,1656.49,2567.56,2867.56,215.1,215.1,79.7,79.7,322.6,322.6
female,58.6,175.9,34,very_active,lose,0,4,1,0.24264705882352955,0.7400000000000002,0.39024390243902446,1387.19,2392.9,1892.9,165.6,165.6,63.1,63.1,165.6,165.6
male,66.1,156.6,28,very_active,gain,1,4,0,0.3805147058823529,0.1885714285714286,0.2439024390243903,1566.47,2702.16,3002.16,225.2,225.2,83.4,83.4,337.7,337.7
male,75.3,161.7,30,sedentary,maintain,1,3,2,0.5496323529411765,0.33428571428571363,0.2926829268292683,1702.84,2043.41,2043.41,153.3,153.3,68.1,68.1,204.3,204.3
male,57.6,173.0,28,moderately_active,gain,1,2,0,0.22426470588235292,0.6571428571428575,0.2439024390243903,1531.3,2373.51,2673.51,200.5,200.5,74.3,74.3,300.8,300.8
male,97.9,163.8,48,lightly_active,gain,1,1,0,0.9650735294117648,0.394285714285715,0.7317073170731709,1913.51,2631.08,2931.08,219.8,219.8,81.4,81.4,329.7,329.7
male,76.6,155.6,45,sedentary,gain,1,3,0,0.5735294117647057,0.16000000000000014,0.6585365853658538,1605.83,1927.0,2227.0,167.0,167.0,61.9,61.9,250.5,250.5
female,65.3,172.8,23,sedentary,lose,0,3,1,0.3658088235294118,0.6514285714285721,0.12195121951219517,1487.17,1784.6,1284.6,112.4,112.4,42.8,42.8,112.4,112.4
female,70.0,177.0,58,extra_active,maintain,0,0,2,0.45220588235294124,0.7714285714285714,0.9756097560975612,1392.09,2644.97,2644.97,198.4,198.4,88.2,88.2,264.5,264.5
female,82.8,150.1,33,extra_active,lose,0,0,1,0.6874999999999999,0.0028571428571426694,0.3658536585365854,1535.36,2917.18,2417.18,211.5,211.5,80.6,80.6,211.5,211.5
female,69.6,162.1,21,extra_active,lose,0,0,1,0.44485294117647045,0.3457142857142852,0.07317073170731708,1502.44,2854.64,2354.64,206.0,206.0,78.5,78.5,206.0,206.0
female,60.1,154.4,52,sedentary,lose,0,3,1,0.27022058823529405,0.12571428571428545,0.8292682926829269,1256.51,1507.81,1200.0,105.0,105.0,40.0,40.0,105.0,105.0
male,46.0,150.7,43,lightly_active,lose,1,1,1,0.011029411764705843,0.019999999999999574,0.6097560975609757,1183.72,1627.62,1200.0,105.0,105.0,40.0,40.0,105.0,105.0
female,79.8,161.8,29,very_active,lose,0,4,1,0.6323529411764705,0.3371428571428572,0.26829268292682934,1561.19,2693.05,2193.05,191.9,191.9,73.1,73.1,191.9,191.9
female,89.8,156.8,28,extra_active,maintain,0,0,2,0.8161764705882352,0.19428571428571484,0.2439024390243903,1642.5,3120.75,3120.75,234.1,234.1,104.0,104.0,312.1,312.1
male,78.4,166.1,54,lightly_active,gain,1,1,0,0.6066176470588237,0.45999999999999996,0.878048780487805,1629.24,2240.2,2540.2,190.5,190.5,70.6,70.6,285.8,285.8
female,66.2,178.4,42,moderately_active,lose,0,2,1,0.3823529411764707,0.8114285714285714,0.5853658536585367,1430.57,2217.38,1717.38,150.3,150.3,57.2,57.2,150.3,150.3
male,79.8,160.3,35,extra_active,lose,1,0,1,0.6323529411764705,0.2942857142857145,0.4146341463414634,1728.03,3283.26,2783.26,243.5,243.5,92.8,92.8,243.5,243.5
female,77.0,155.9,36,very_active,maintain,0,4,2,0.5808823529411765,0.16857142857142904,0.43902439024390244,1486.71,2564.57,2564.57,192.3,192.3,85.5,85.5,256.5,256.5
male,94.4,168.7,40,moderately_active,maintain,1,2,2,0.9007352941176471,0.5342857142857138,0.5365853658536586,1935.55,3000.1,3000.1,225.0,225.0,100.0,100.0,300.0,300.0
female,59.0,179.4,55,moderately_active,gain,0,2,0,0.2500000000000001,0.8399999999999999,0.902439024390244,1310.8,2031.74,2331.74,174.9,174.9,64.8,64.8,262.3,262.3
female,75.7,176.5,35,very_active,maintain,0,4,2,0.5569852941176471,0.7571428571428571,0.4146341463414634,1542.84,2661.4,2661.4,199.6,199.6,88.7,88.7,266.1,266.1
male,61.1,162.3,43,extra_active,gain,1,0,0,0.2886029411764707,0.3514285714285714,0.6097560975609757,1441.69,2739.21,3039.21,227.9,227.9,84.4,84.4,341.9,341.9
male,64.2,164.4,23,sedentary,lose,1,3,1,0.34558823529411764,0.4114285714285719,0.12195121951219517,1606.83,1928.2,1428.2,125.0,125.0,47.6,47.6,125.0,125.0
male,70.1,156.9,21,very_active,lose,1,4,1,0.45404411764705876,0.1971428571428575,0.07317073170731708,1661.24,2865.64,2365.64,207.0,207.0,78.9,78.9,207.0,207.0
male,79.9,160.1,46,very_active,gain,1,4,0,0.6341911764705884,0.28857142857142826,0.6829268292682928,1665.96,2873.78,3173.78,238.0,238.0,88.2,88.2,357.1,357.1
male,64.6,167.5,51,very_active,maintain,1,4,2,0.3529411764705882,0.5,0.8048780487804879,1468.11,2532.49,2532.49,189.9,189.9,84.4,84.4,253.2,253.2
male,61.1,159.9,34,moderately_active,gain,1,2,0,0.2886029411764707,0.2828571428571429,0.39024390243902446,1481.26,2295.95,2595.95,194.7,194.7,72.1,72.1,292.0,292.0
male,55.7,164.0,33,lightly_active,maintain,1,1,2,0.18933823529411764,0.40000000000000036,0.3658536585365854,1434.27,1972.12,1972.12,147.9,147.9,65.7,65.7,197.2,197.2
male,61.9,169.9,19,sedentary,lose,1,3,1,0.3033088235294118,0.5685714285714285,0.024390243902439046,1625.12,1950.14,1450.14,126.9,126.9,48.3,48.3,126.9,126.9
female,74.5,152.6,51,extra_active,maintain,0,0,2,0.5349264705882354,0.07428571428571384,0.8048780487804879,1388.42,2638.0,2638.0,197.8,197.8,87.9,87.9,263.8,263.8
female,54.6,167.4,25,extra_active,gain,0,0,0,0.16911764705882348,0.49714285714285733,0.17073170731707316,1362.83,2589.38,2889.38,216.7,216.7,80.3,80.3,325.1,325.1
male,49.4,179.2,30,lightly_active,gain,1,1,0,0.07352941176470584,0.8342857142857136,0.2926829268292683,1439.84,1979.78,2279.78,171.0,171.0,63.3,63.3,256.5,256.5
female,95.7,158.4,59,very_active,lose,0,4,1,0.9246323529411765,0.2400000000000002,1.0,1567.78,2704.42,2204.42,192.9,192.9,73.5,73.5,192.9,192.9
female,70.7,158.2,25,sedentary,maintain,0,3,2,0.46507352941176483,0.234285714285714,0.17073170731707316,1483.21,1779.85,1779.85,133.5,133.5,59.3,59.3,178.0,178.0
female,56.9,165.1,47,extra_active,maintain,0,0,2,0.21139705882352933,0.4314285714285715,0.7073170731707319,1281.72,2435.27,2435.27,182.6,182.6,81.2,81.2,243.5,243.5
female,90.3,164.3,49,extra_active,maintain,0,0,2,0.8253676470588235,0.40857142857142925,0.7560975609756098,1579.43,3000.92,3000.92,225.1,225.1,100.0,100.0,300.1,300.1
male,72.8,175.4,53,very_active,lose,1,4,1,0.5036764705882352,0.725714285714286,0.853658536585366,1604.53,2767.81,2267.81,198.4,198.4,75.6,75.6,198.4,198.4
female,45.7,179.4,47,lightly_active,maintain,0,1,2,0.005514705882353033,0.8399999999999999,0.7073170731707319,1222.45,1680.87,1680.87,126.1,126.1,56.0,56.0,168.1,168.1
male,93.8,176.1,18,sedentary,gain,1,3,0,0.8897058823529412,0.7457142857142856,0.0,2087.92,2505.5,2805.5,210.4,210.4,77.9,77.9,315.6,315.6
female,62.1,169.1,56,lightly_active,maintain,0,1,2,0.3069852941176471,0.5457142857142854,0.9268292682926831,1303.22,1791.93,1791.93,134.4,134.4,59.7,59.7,179.2,179.2
female,61.6,166.4,34,lightly_active,lose,0,1,1,0.29779411764705876,0.46857142857142886,0.39024390243902446,1385.5,1905.06,1405.06,122.9,122.9,46.8,46.8,122.9,122.9
female,72.2,184.2,37,sedentary,maintain,0,3,2,0.49264705882352955,0.9771428571428569,0.4634146341463415,1525.67,1830.8,1830.8,137.3,137.3,61.0,61.0,183.1,183.1
male,53.7,180.0,41,sedentary,maintain,1,3,2,0.15257352941176472,0.8571428571428568,0.5609756097560976,1438.84,1726.61,1726.61,129.5,129.5,57.6,57.6,172.7,172.7
female,83.0,167.3,39,extra_active,gain,0,0,0,0.6911764705882354,0.49428571428571466,0.5121951219512195,1564.52,2972.59,3272.59,245.4,245.4,90.9,90.9,368.2,368.2
male,76.5,184.5,46,extra_active,maintain,1,0,2,0.5716911764705882,0.9857142857142858,0.6829268292682928,1737.51,3301.27,3301.27,247.6,247.6,110.0,110.0,330.1,330.1
female,99.1,175.0,39,sedentary,gain,0,3,0,0.9871323529411763,0.7142857142857144,0.5121951219512195,1737.25,2084.7,2384.7,178.9,178.9,66.2,66.2,268.3,268.3
male,61.7,162.1,26,moderately_active,gain,1,2,0,0.2996323529411765,0.3457142857142852,0.1951219512195122,1545.27,2395.17,2695.17,202.1,202.1,74.9,74.9,303.2,303.2
female,80.2,178.7,54,extra_active,lose,0,0,1,0.6397058823529412,0.8199999999999994,0.878048780487805,1509.0,2867.1,2367.1,207.1,207.1,78.9,78.9,207.1,207.1
male,82.8,152.3,27,moderately_active,gain,1,2,0,0.6874999999999999,0.06571428571428584,0.21951219512195125,1775.24,2751.62,3051.62,228.9,228.9,84.8,84.8,343.3,343.3
male,65.8,176.4,53,sedentary,gain,1,3,0,0.3749999999999999,0.7542857142857144,0.853658536585366,1515.55,1818.66,2118.66,158.9,158.9,58.9,58.9,238.3,238.3
female,69.5,159.1,54,extra_active,lose,0,0,1,0.4430147058823529,0.2599999999999998,0.878048780487805,1349.33,2563.73,2063.73,180.6,180.6,68.8,68.8,180.6,180.6
male,60.8,157.4,45,lightly_active,gain,1,1,0,0.28308823529411764,0.21142857142857174,0.6585365853658538,1402.8,1928.85,2228.85,167.2,167.2,61.9,61.9,250.7,250.7
female,84.6,152.4,45,sedentary,lose,0,3,1,0.7205882352941176,0.0685714285714285,0.6585365853658538,1507.17,1808.6,1308.6,114.5,114.5,43.6,43.6,114.5,114.5
female,61.8,158.4,59,very_active,maintain,0,4,2,0.30147058823529405,0.2400000000000002,1.0,1254.31,2163.68,2163.68,162.3,162.3,72.1,72.1,216.4,216.4
female,61.2,165.0,38,moderately_active,lose,0,2,1,0.2904411764705882,0.4285714285714288,0.48780487804878053,1360.14,2108.22,1608.22,140.7,140.7,53.6,53.6,140.7,140.7
female,71.0,151.4,41,sedentary,gain,0,3,0,0.47058823529411764,0.040000000000000036,0.5609756097560976,1395.64,1674.77,1974.77,148.1,148.1,54.9,54.9,222.2,222.2
female,63.2,171.0,59,sedentary,lose,0,3,1,0.32720588235294124,0.5999999999999996,1.0,1306.29,1567.55,1200.0,105.0,105.0,40.0,40.0,105.0,105.0
female,65.5,157.1,57,extra_active,gain,0,0,0,0.3694852941176471,0.20285714285714285,0.9512195121951221,1293.16,2457.0,2757.0,206.8,206.8,76.6,76.6,310.2,310.2
female,54.2,183.6,19,extra_active,maintain,0,0,2,0.16176470588235303,0.96,0.024390243902439046,1435.3,2727.07,2727.07,204.5,204.5,90.9,90.9,272.7,272.7
female,52.1,163.4,25,extra_active,lose,0,0,1,0.12316176470588236,0.38285714285714256,0.17073170731707316,1327.32,2521.91,2021.91,176.9,176.9,67.4,67.4,176.9,176.9
female,85.0,163.6,44,very_active,maintain,0,4,2,0.7279411764705882,0.3885714285714288,0.6341463414634148,1549.9,2673.58,2673.58,200.5,200.5,89.1,89.1,267.4,267.4
female,62.8,164.9,39,extra_active,gain,0,0,0,0.31985294117647045,0.42571428571428616,0.5121951219512195,1370.29,2603.55,2903.55,217.8,217.8,80.7,80.7,326.6,326.6
female,76.2,161.9,54,sedentary,gain,0,3,0,0.5661764705882354,0.33999999999999986,0.878048780487805,1419.96,1703.95,2003.95,150.3,150.3,55.7,55.7,225.4,225.4
male,59.0,176.1,44,extra_active,maintain,1,0,2,0.2500000000000001,0.7457142857142856,0.6341463414634148,1474.1,2800.79,2800.79,210.1,210.1,93.4,93.4,280.1,280.1
male,62.6,167.1,46,lightly_active,lose,1,1,1,0.3161764705882354,0.48857142857142843,0.6829268292682928,1467.79,2018.21,1518.21,132.8,132.8,50.6,50.6,132.8,132.8
female,83.8,180.4,20,extra_active,lose,0,0,1,0.7058823529411765,0.8685714285714283,0.04878048780487804,1694.77,3220.06,2720.06,238.0,238.0,90.7,90.7,238.0,238.0
female,80.4,181.5,30,very_active,gain,0,4,0,0.6433823529411765,0.9000000000000004,0.2926829268292683,1623.44,2800.43,3100.43,232.5,232.5,86.1,86.1,348.8,348.8
female,82.1,167.5,27,lightly_active,maintain,0,1,2,0.6746323529411763,0.5,0.21951219512195125,1608.78,2212.07,2212.07,165.9,165.9,73.7,73.7,221.2,221.2
female,60.4,164.5,53,sedentary,maintain,0,3,2,0.2757352941176471,0.4142857142857146,0.853658536585366,1286.24,1543.49,1543.49,115.8,115.8,51.4,51.4,154.3,154.3
female,75.7,166.3,26,sedentary,lose,0,3,1,0.5569852941176471,0.4657142857142862,0.1951219512195122,1550.21,1860.25,1360.25,119.0,119.0,45.3,45.3,119.0,119.0
female,64.3,168.0,44,moderately_active,lose,0,2,1,0.34742647058823517,0.5142857142857142,0.6341463414634148,1372.12,2126.79,1626.79,142.3,142.3,54.2,54.2,142.3,142.3
female,75.3,151.3,51,lightly_active,lose,0,1,1,0.5496323529411765,0.037142857142857366,0.8048780487804879,1391.79,1913.71,1413.71,123.7,123.7,47.1,47.1,123.7,123.7
female,72.8,181.0,18,moderately_active,maintain,0,2,2,0.5036764705882352,0.8857142857142861,0.0,1603.57,2485.53,2485.53,186.4,186.4,82.9,82.9,248.6,248.6
male,51.2,152.8,49,lightly_active,lose,1,1,1,0.1066176470588236,0.08000000000000007,0.7560975609756098,1229.4,1690.43,1200.0,105.0,105.0,40.0,40.0,105.0,105.0
female,56.8,179.4,42,lightly_active,lose,0,1,1,0.2095588235294118,0.8399999999999999,0.5853658536585367,1346.74,1851.77,1351.77,118.3,118.3,45.1,45.1,118.3,118.3
male,54.0,176.4,46,very_active,gain,1,4,0,0.15808823529411764,0.7542857142857144,0.6829268292682928,1397.2,2410.17,2710.17,203.3,203.3,75.3,75.3,304.9,304.9
female,54.0,155.9,24,moderately_active,lose,0,2,1,0.15808823529411764,0.16857142857142904,0.14634146341463422,1325.99,2055.28,1555.28,136.1,136.1,51.8,51.8,136.1,136.1
female,66.5,159.7,20,very_active,lose,0,4,1,0.3878676470588235,0.2771428571428567,0.04878048780487804,1470.67,2536.91,2036.91,178.2,178.2,67.9,67.9,178.2,178.2
male,68.7,161.5,37,lightly_active,maintain,1,1,2,0.4283088235294118,0.3285714285714283,0.4634146341463415,1573.73,2163.88,2163.88,162.3,162.3,72.1,72.1,216.4,216.4
female,96.4,183.4,37,sedentary,maintain,0,3,2,0.9375000000000001,0.9542857142857146,0.4634146341463415,1746.97,2096.36,2096.36,157.2,157.2,69.9,69.9,209.6,209.6
male,57.7,161.1,47,lightly_active,gain,1,1,0,0.22610294117647067,0.3171428571428567,0.7073170731707319,1367.67,1880.55,2180.55,163.5,163.5,60.6,60.6,245.3,245.3
female,80.1,161.2,52,very_active,lose,0,4,1,0.6378676470588235,0.3199999999999994,0.8292682926829269,1462.52,2522.85,2022.85,177.0,177.0,67.4,67.4,177.0,177.0
female,91.3,156.9,52,moderately_active,gain,0,2,0,0.8437499999999999,0.1971428571428575,0.8292682926829269,1552.76,2406.78,2706.78,203.0,203.0,75.2,75.2,304.5,304.5
male,88.7,164.6,56,moderately_active,maintain,1,2,2,0.7959558823529412,0.41714285714285726,0.9268292682926831,1748.68,2710.45,2710.45,203.3,203.3,90.3,90.3,271.0,271.0
female,80.5,163.0,44,very_active,gain,0,4,0,0.645220588235294,0.371428571428571,0.6341463414634148,1506.43,2598.59,2898.59,217.4,217.4,80.5,80.5,326.1,326.1
male,83.2,165.3,43,moderately_active,maintain,1,2,2,0.6948529411764707,0.4371428571428577,0.6097560975609757,1752.16,2715.85,2715.85,203.7,203.7,90.5,90.5,271.6,271.6
female,71.7,163.8,31,extra_active,gain,0,0,0,0.48345588235294124,0.394285714285715,0.3170731707317073,1483.83,2819.28,3119.28,233.9,233.9,86.6,86.6,350.9,350.9
male,77.4,181.0,34,sedentary,gain,1,3,0,0.5882352941176471,0.8857142857142861,0.39024390243902446,1800.89,2161.07,2461.07,184.6,184.6,68.4,68.4,276.9,276.9
male,82.8,178.3,35,sedentary,lose,1,3,1,0.6874999999999999,0.8085714285714287,0.4146341463414634,1854.6,2225.52,1725.52,151.0,151.0,57.5,57.5,151.0,151.0
female,67.0,155.5,46,sedentary,gain,0,3,0,0.3970588235294118,0.15714285714285747,0.6829268292682928,1349.7,1619.64,1919.64,144.0,144.0,53.3,53.3,216.0,216.0
female,75.8,156.1,37,moderately_active,lose,0,2,1,0.5588235294117646,0.17428571428571438,0.4634146341463415,1471.9,2281.45,1781.45,155.9,155.9,59.4,59.4,155.9,155.9
male,61.3,165.8,44,moderately_active,lose,1,2,1,0.29227941176470573,0.45142857142857196,0.6341463414634148,1455.48,2255.99,1755.99,153.6,153.6,58.5,58.5,153.6,153.6
female,56.7,167.4,35,lightly_active,lose,0,1,1,0.20772058823529427,0.49714285714285733,0.4146341463414634,1338.95,1841.06,1341.06,117.3,117.3,44.7,44.7,117.3,117.3
female,66.4,166.0,21,lightly_active,lose,0,1,1,0.38602941176470595,0.4571428571428573,0.07317073170731708,1484.93,2041.78,1541.78,134.9,134.9,51.4,51.4,134.9,134.9
female,87.1,166.4,18,sedentary,gain,0,3,0,0.7665441176470588,0.46857142857142886,0.0,1690.57,2028.68,2328.68,174.7,174.7,64.7,64.7,262.0,262.0
male,64.8,181.8,18,extra_active,maintain,1,0,2,0.3566176470588235,0.9085714285714293,0.0,1726.76,3280.84,3280.84,246.1,246.1,109.4,109.4,328.1,328.1
male,78.0,168.3,43,lightly_active,maintain,1,1,2,0.5992647058823529,0.5228571428571431,0.6097560975609757,1696.89,2333.22,2333.22,175.0,175.0,77.8,77.8,233.3,233.3
male,78.9,179.0,37,lightly_active,maintain,1,1,2,0.6158088235294118,0.8285714285714283,0.4634146341463415,1794.36,2467.24,2467.24,185.0,185.0,82.2,82.2,246.7,246.7
male,72.3,156.4,40,moderately_active,gain,1,2,0,0.4944852941176471,0.18285714285714327,0.5365853658536586,1580.45,2449.7,2749.7,206.2,206.2,76.4,76.4,309.3,309.3
male,48.0,171.5,27,extra_active,lose,1,0,1,0.047794117647058765,0.6142857142857139,0.21951219512195125,1401.17,2662.22,2162.22,189.2,189.2,72.1,72.1,189.2,189.2
male,79.0,157.4,28,sedentary,maintain,1,3,2,0.6176470588235293,0.21142857142857174,0.2439024390243903,1743.13,2091.76,2091.76,156.9,156.9,69.7,69.7,209.2,209.2
male,65.9,162.0,58,lightly_active,gain,1,1,0,0.37683823529411786,0.3428571428571425,0.9756097560975612,1419.4,1951.68,2251.68,168.9,168.9,62.5,62.5,253.3,253.3
male,64.2,178.2,58,extra_active,lose,1,0,1,0.34558823529411764,0.8057142857142852,0.9756097560975612,1474.37,2801.3,2301.3,201.4,201.4,76.7,76.7,201.4,201.4
male,68.7,184.8,22,extra_active,maintain,1,0,2,0.4283088235294118,0.9942857142857147,0.09756097560975613,1770.7,3364.33,3364.33,252.3,252.3,112.1,112.1,336.4,336.4
female,78.0,157.5,18,sedentary,lose,0,3,1,0.5992647058823529,0.2142857142857144,0.0,1578.85,1894.62,1394.62,122.0,122.0,46.5,46.5,122.0,122.0
male,58.9,170.0,34,extra_active,maintain,1,0,2,0.24816176470588236,0.5714285714285712,0.39024390243902446,1500.26,2850.49,2850.49,213.8,213.8,95.0,95.0,285.0,285.0
female,72.1,180.0,39,extra_active,maintain,0,0,2,0.4908088235294116,0.8571428571428568,0.5121951219512195,1503.07,2855.83,2855.83,214.2,214.2,95.2,95.2,285.6,285.6
female,69.7,165.1,51,extra_active,maintain,0,0,2,0.4466911764705882,0.4314285714285715,0.8048780487804879,1382.76,2627.24,2627.24,197.0,197.0,87.6,87.6,262.7,262.7
female,55.7,173.9,58,lightly_active,lose,0,1,1,0.18933823529411764,0.6828571428571433,0.9756097560975612,1250.25,1719.09,1219.09,106.7,106.7,40.6,40.6,106.7,106.7
male,95.1,156.9,46,sedentary,gain,1,3,0,0.9136029411764705,0.1971428571428575,0.6829268292682928,1854.24,2225.09,2525.09,189.4,189.4,70.1,70.1,284.1,284.1
male,81.7,153.1,21,extra_active,lose,1,0,1,0.667279411764706,0.08857142857142808,0.07317073170731708,1798.41,3416.98,2916.98,255.2,255.2,97.2,97.2,255.2,255.2
male,85.6,164.7,22,extra_active,maintain,1,0,2,0.738970588235294,0.41999999999999993,0.09756097560975613,1900.65,3611.24,3611.24,270.8,270.8,120.4,120.4,361.1,361.1
male,79.0,168.9,28,lightly_active,lose,1,1,1,0.6176470588235293,0.54,0.2439024390243903,1798.32,2472.69,1972.69,172.6,172.6,65.8,65.8,172.6,172.6
